2026-04-01;11;10585;515;10585;10070
2026-04-04;19;22825;1250;22825;21575
2026-04-05;40;33235;980;33235;32255
2026-04-06;15;12975;1100;12975;11875
2026-04-07;34;23990;915;23990;23075
2026-04-08;15;9855;0;9855;9855
2026-04-09;8;2320;100;2320;2220
2026-04-11;8;2455;0;2455;2455
2026-04-12;46;30015;1670;30015;28345
2026-04-14;39;37485;1100;37485;36385
2026-04-15;28;28990;565;28990;28425
2026-04-16;6;1420;0;1420;1420
2026-04-18;15;4315;0;4315;4315
2026-04-19;43;36155;1200;36155;34955
2026-04-20;12;4940;0;4940;4940
2026-04-21;36;33725;3560;33725;30165
2026-04-22;17;23225;1250;23225;21975
2026-04-23;8;2195;0;2195;2195
2026-04-25;8;2010;0;2010;2010
2026-04-26;18;13685;680;13685;13005
2026-04-27;10;3575;950;3575;2625
2026-04-28;23;18770;2310;18770;16460
2026-04-29;17;10040;775;10040;9265
2026-04-30;16;3890;200;3890;3690
